user_id,total_orders,recency_days,m_proxy_value,as_of_date,R_score,F_score,M_score,RFM_Cell,rfm_segment
164,11,5,190,2023-12-31,5,3,4,534,Average Purchaser
165,8,27,92,2023-12-31,3,2,3,323,Need Attention
166,7,29,28,2023-12-31,3,2,1,321,Average Purchaser
167,6,51,54,2023-12-31,1,2,2,122,Low-Value / Lost
168,23,21,140,2023-12-31,4,4,4,444,Champion / Loyal
169,7,28,85,2023-12-31,3,2,3,323,Need Attention
170,4,27,8,2023-12-31,3,1,1,311,Average Purchaser
171,7,27,57,2023-12-31,3,2,2,322,Average Purchaser
172,7,57,20,2023-12-31,1,2,1,121,Low-Value / Lost
173,45,57,426,2023-12-31,1,5,5,155,High-Value At-Risk
174,28,17,173,2023-12-31,4,5,4,454,Champion / Loyal
175,24,26,130,2023-12-31,3,4,4,344,Need Attention
176,7,39,43,2023-12-31,2,2,2,222,Low-Value / Lost
177,15,9,48,2023-12-31,5,4,2,542,Average Purchaser
178,6,13,60,2023-12-31,4,2,2,422,New / Promising
179,6,42,31,2023-12-31,2,2,1,221,Low-Value / Lost
180,7,44,222,2023-12-31,2,2,4,224,High-Value At-Risk
181,11,29,96,2023-12-31,3,3,3,333,Need Attention
182,27,40,204,2023-12-31,2,5,4,254,High-Value At-Risk
183,5,50,76,2023-12-31,1,1,3,113,Average Purchaser
184,12,14,153,2023-12-31,4,3,4,434,Average Purchaser
185,7,54,40,2023-12-31,1,2,2,122,Low-Value / Lost
186,8,47,54,2023-12-31,2,2,2,222,Low-Value / Lost
187,33,14,203,2023-12-31,4,5,4,454,Champion / Loyal
188,6,0,72,2023-12-31,5,2,3,523,New / Promising
189,12,27,59,2023-12-31,3,3,2,332,Need Attention
190,18,11,160,2023-12-31,5,4,4,544,Champion / Loyal
191,5,52,23,2023-12-31,1,1,1,111,Low-Value / Lost
192,6,42,42,2023-12-31,2,2,2,222,Low-Value / Lost
193,6,18,33,2023-12-31,4,2,1,421,New / Promising
194,10,25,90,2023-12-31,3,3,3,333,Need Attention
195,59,58,185,2023-12-31,1,5,4,154,High-Value At-Risk
196,4,51,3,2023-12-31,1,1,1,111,Low-Value / Lost
197,21,29,448,2023-12-31,3,4,5,345,Need Attention
198,6,41,51,2023-12-31,2,2,2,222,Low-Value / Lost
199,4,40,16,2023-12-31,2,1,1,211,Low-Value / Lost
200,10,0,172,2023-12-31,5,3,4,534,Average Purchaser
201,8,52,53,2023-12-31,1,2,2,122,Low-Value / Lost
202,14,30,365,2023-12-31,3,4,5,345,Need Attention
203,4,44,11,2023-12-31,2,1,1,211,Low-Value / Lost
204,59,40,515,2023-12-31,2,5,5,255,High-Value At-Risk
205,13,59,49,2023-12-31,1,3,2,132,Average Purchaser
206,29,25,177,2023-12-31,3,5,4,354,Need Attention
207,4,21,22,2023-12-31,4,1,1,411,New / Promising
208,19,55,93,2023-12-31,1,4,3,143,High-Value At-Risk
209,20,43,316,2023-12-31,2,4,5,245,High-Value At-Risk
210,100,2,1476,2023-12-31,5,5,5,555,Champion / Loyal
211,5,51,49,2023-12-31,1,1,2,112,Low-Value / Lost
212,13,5,29,2023-12-31,5,3,1,531,Average Purchaser
213,6,46,56,2023-12-31,2,2,2,222,Low-Value / Lost
214,28,5,479,2023-12-31,5,5,5,555,Champion / Loyal
215,6,30,31,2023-12-31,3,2,1,321,Average Purchaser
216,18,39,339,2023-12-31,2,4,5,245,High-Value At-Risk
217,12,9,79,2023-12-31,5,3,3,533,Average Purchaser
218,7,0,6,2023-12-31,5,2,1,521,New / Promising
219,34,12,404,2023-12-31,5,5,5,555,Champion / Loyal
220,17,27,114,2023-12-31,3,4,4,344,Need Attention
221,24,44,231,2023-12-31,2,4,4,244,High-Value At-Risk
222,71,5,484,2023-12-31,5,5,5,555,Champion / Loyal
223,50,44,643,2023-12-31,2,5,5,255,High-Value At-Risk
224,4,52,22,2023-12-31,1,1,1,111,Low-Value / Lost
225,12,41,60,2023-12-31,2,3,2,232,Average Purchaser
226,22,34,220,2023-12-31,3,4,4,344,Need Attention
227,32,54,562,2023-12-31,1,5,5,155,High-Value At-Risk
228,5,23,50,2023-12-31,4,1,2,412,New / Promising
229,18,57,187,2023-12-31,1,4,4,144,High-Value At-Risk
230,11,7,56,2023-12-31,5,3,2,532,Average Purchaser
231,4,30,65,2023-12-31,3,1,3,313,Need Attention
232,37,14,445,2023-12-31,4,5,5,455,Champion / Loyal
233,26,49,478,2023-12-31,1,5,5,155,High-Value At-Risk
234,43,39,550,2023-12-31,2,5,5,255,High-Value At-Risk
235,22,25,192,2023-12-31,3,4,4,344,Need Attention
236,46,54,515,2023-12-31,1,5,5,155,High-Value At-Risk
237,9,19,69,2023-12-31,4,3,3,433,Average Purchaser
238,7,45,202,2023-12-31,2,2,4,224,High-Value At-Risk
239,6,58,45,2023-12-31,1,2,2,122,Low-Value / Lost
240,6,26,15,2023-12-31,3,2,1,321,Average Purchaser
241,15,5,124,2023-12-31,5,4,4,544,Champion / Loyal
242,17,52,134,2023-12-31,1,4,4,144,High-Value At-Risk
243,28,31,351,2023-12-31,3,5,5,355,Need Attention
244,8,54,43,2023-12-31,1,2,2,122,Low-Value / Lost
245,6,17,47,2023-12-31,4,2,2,422,New / Promising
246,6,45,33,2023-12-31,2,2,1,221,Low-Value / Lost
247,6,41,31,2023-12-31,2,2,1,221,Low-Value / Lost
248,59,45,392,2023-12-31,2,5,5,255,High-Value At-Risk
249,10,21,40,2023-12-31,4,3,2,432,Average Purchaser
250,12,7,105,2023-12-31,5,3,3,533,Average Purchaser
251,11,56,77,2023-12-31,1,3,3,133,Average Purchaser
252,5,17,46,2023-12-31,4,1,2,412,New / Promising
253,4,10,23,2023-12-31,5,1,1,511,New / Promising
254,12,50,105,2023-12-31,1,3,3,133,Average Purchaser
255,5,39,80,2023-12-31,2,1,3,213,Average Purchaser
256,19,20,221,2023-12-31,4,4,4,444,Champion / Loyal
257,21,7,121,2023-12-31,5,4,4,544,Champion / Loyal
258,25,42,213,2023-12-31,2,5,4,254,High-Value At-Risk
259,4,50,16,2023-12-31,1,1,1,111,Low-Value / Lost
260,18,32,104,2023-12-31,3,4,3,343,Need Attention
261,9,21,56,2023-12-31,4,3,2,432,Average Purchaser
262,46,49,262,2023-12-31,1,5,5,155,High-Value At-Risk
263,4,13,24,2023-12-31,4,1,1,411,New / Promising
264,30,50,691,2023-12-31,1,5,5,155,High-Value At-Risk
265,8,28,28,2023-12-31,3,2,1,321,Average Purchaser
266,6,44,30,2023-12-31,2,2,1,221,Low-Value / Lost
267,10,41,324,2023-12-31,2,3,5,235,High-Value At-Risk
268,10,8,67,2023-12-31,5,3,3,533,Average Purchaser
269,4,1,67,2023-12-31,5,1,3,513,New / Promising
270,23,24,66,2023-12-31,4,4,3,443,Average Purchaser
271,16,7,17,2023-12-31,5,4,1,541,Average Purchaser
272,10,56,65,2023-12-31,1,3,3,133,Average Purchaser
273,20,15,108,2023-12-31,4,4,3,443,Average Purchaser
274,15,50,188,2023-12-31,1,4,4,144,High-Value At-Risk
275,15,21,163,2023-12-31,4,4,4,444,Champion / Loyal
276,10,12,62,2023-12-31,5,3,2,532,Average Purchaser
277,4,9,23,2023-12-31,5,1,1,511,New / Promising
278,69,35,267,2023-12-31,3,5,5,355,Need Attention
279,15,0,100,2023-12-31,5,4,3,543,Average Purchaser
280,42,42,530,2023-12-31,2,5,5,255,High-Value At-Risk
281,31,56,303,2023-12-31,1,5,5,155,High-Value At-Risk
282,4,15,22,2023-12-31,4,1,1,411,New / Promising
283,6,25,36,2023-12-31,3,2,2,322,Average Purchaser
284,17,22,358,2023-12-31,4,4,5,445,Champion / Loyal
285,5,35,38,2023-12-31,3,1,2,312,Average Purchaser
286,4,26,26,2023-12-31,3,1,1,311,Average Purchaser
287,15,45,18,2023-12-31,2,4,1,241,High-Value At-Risk
288,4,16,19,2023-12-31,4,1,1,411,New / Promising
289,50,44,705,2023-12-31,2,5,5,255,High-Value At-Risk
290,52,58,1590,2023-12-31,1,5,5,155,High-Value At-Risk
291,5,54,17,2023-12-31,1,1,1,111,Low-Value / Lost
292,9,49,131,2023-12-31,1,3,4,134,High-Value At-Risk
293,9,6,114,2023-12-31,5,3,4,534,Average Purchaser
294,16,31,108,2023-12-31,3,4,3,343,Need Attention
295,24,33,265,2023-12-31,3,4,5,345,Need Attention
296,7,29,30,2023-12-31,3,2,1,321,Average Purchaser
297,12,31,49,2023-12-31,3,3,2,332,Need Attention
298,4,16,49,2023-12-31,4,1,2,412,New / Promising
299,10,12,64,2023-12-31,5,3,3,533,Average Purchaser
300,39,8,280,2023-12-31,5,5,5,555,Champion / Loyal
301,19,29,148,2023-12-31,3,4,4,344,Need Attention
302,11,49,76,2023-12-31,1,3,3,133,Average Purchaser
303,9,50,13,2023-12-31,1,3,1,131,Average Purchaser
304,43,17,278,2023-12-31,4,5,5,455,Champion / Loyal
305,5,53,40,2023-12-31,1,1,2,112,Low-Value / Lost
306,25,1,120,2023-12-31,5,5,4,554,Champion / Loyal
307,35,31,171,2023-12-31,3,5,4,354,Need Attention
308,4,56,11,2023-12-31,1,1,1,111,Low-Value / Lost
309,26,54,308,2023-12-31,1,5,5,155,High-Value At-Risk
310,100,12,493,2023-12-31,5,5,5,555,Champion / Loyal
311,16,41,61,2023-12-31,2,4,2,242,High-Value At-Risk
312,5,6,29,2023-12-31,5,1,1,511,New / Promising
313,100,17,787,2023-12-31,4,5,5,455,Champion / Loyal
314,6,57,11,2023-12-31,1,2,1,121,Low-Value / Lost
315,5,4,34,2023-12-31,5,1,2,512,New / Promising
316,22,40,190,2023-12-31,2,4,4,244,High-Value At-Risk
317,5,42,40,2023-12-31,2,1,2,212,Low-Value / Lost
318,8,54,7,2023-12-31,1,2,1,121,Low-Value / Lost
319,9,52,55,2023-12-31,1,3,2,132,Average Purchaser
320,6,40,142,2023-12-31,2,2,4,224,High-Value At-Risk
321,34,19,478,2023-12-31,4,5,5,455,Champion / Loyal
322,15,36,150,2023-12-31,3,4,4,344,Need Attention
323,72,47,1050,2023-12-31,2,5,5,255,High-Value At-Risk
324,12,34,93,2023-12-31,3,3,3,333,Need Attention
325,8,32,94,2023-12-31,3,2,3,323,Need Attention
326,6,58,47,2023-12-31,1,2,2,122,Low-Value / Lost
327,64,59,734,2023-12-31,1,5,5,155,High-Value At-Risk
328,13,24,126,2023-12-31,4,3,4,434,Average Purchaser
329,9,8,33,2023-12-31,5,3,1,531,Average Purchaser
330,8,15,36,2023-12-31,4,2,2,422,New / Promising
331,9,23,39,2023-12-31,4,3,2,432,Average Purchaser
332,13,31,234,2023-12-31,3,3,5,335,Need Attention
333,9,51,42,2023-12-31,1,3,2,132,Average Purchaser
334,64,34,841,2023-12-31,3,5,5,355,Need Attention
335,7,28,44,2023-12-31,3,2,2,322,Average Purchaser
336,12,38,42,2023-12-31,2,3,2,232,Average Purchaser
337,13,59,247,2023-12-31,1,3,5,135,High-Value At-Risk
338,6,17,26,2023-12-31,4,2,1,421,New / Promising
339,4,49,29,2023-12-31,1,1,1,111,Low-Value / Lost
340,6,42,53,2023-12-31,2,2,2,222,Low-Value / Lost
341,12,35,195,2023-12-31,3,3,4,334,Need Attention
342,17,14,139,2023-12-31,4,4,4,444,Champion / Loyal
343,5,27,18,2023-12-31,3,1,1,311,Average Purchaser
344,10,30,25,2023-12-31,3,3,1,331,Need Attention
345,4,55,13,2023-12-31,1,1,1,111,Low-Value / Lost
346,7,49,36,2023-12-31,1,2,2,122,Low-Value / Lost
347,4,31,13,2023-12-31,3,1,1,311,Average Purchaser
348,29,18,135,2023-12-31,4,5,4,454,Champion / Loyal
349,8,33,41,2023-12-31,3,2,2,322,Average Purchaser
350,15,15,171,2023-12-31,4,4,4,444,Champion / Loyal
351,15,32,180,2023-12-31,3,4,4,344,Need Attention
352,11,53,195,2023-12-31,1,3,4,134,High-Value At-Risk
353,12,49,111,2023-12-31,1,3,3,133,Average Purchaser
354,6,30,7,2023-12-31,3,2,1,321,Average Purchaser
355,14,48,136,2023-12-31,2,4,4,244,High-Value At-Risk
356,4,21,23,2023-12-31,4,1,1,411,New / Promising
357,9,18,154,2023-12-31,4,3,4,434,Average Purchaser
358,8,58,53,2023-12-31,1,2,2,122,Low-Value / Lost
359,16,8,199,2023-12-31,5,4,4,544,Champion / Loyal
360,4,21,16,2023-12-31,4,1,1,411,New / Promising
361,7,0,89,2023-12-31,5,2,3,523,New / Promising
362,12,38,111,2023-12-31,2,3,3,233,Average Purchaser
363,13,16,214,2023-12-31,4,3,4,434,Average Purchaser
364,19,47,177,2023-12-31,2,4,4,244,High-Value At-Risk
365,16,18,37,2023-12-31,4,4,2,442,Average Purchaser
366,4,37,39,2023-12-31,2,1,2,212,Low-Value / Lost
367,5,56,78,2023-12-31,1,1,3,113,Average Purchaser
368,5,56,7,2023-12-31,1,1,1,111,Low-Value / Lost
369,17,3,121,2023-12-31,5,4,4,544,Champion / Loyal
370,28,54,332,2023-12-31,1,5,5,155,High-Value At-Risk
371,4,17,29,2023-12-31,4,1,1,411,New / Promising
372,13,21,87,2023-12-31,4,3,3,433,Average Purchaser
373,59,20,568,2023-12-31,4,5,5,455,Champion / Loyal
374,17,12,23,2023-12-31,5,4,1,541,Average Purchaser
375,8,31,116,2023-12-31,3,2,4,324,Need Attention
376,9,27,89,2023-12-31,3,3,3,333,Need Attention
377,4,57,29,2023-12-31,1,1,1,111,Low-Value / Lost
378,9,39,20,2023-12-31,2,3,1,231,Average Purchaser
379,20,5,200,2023-12-31,5,4,4,544,Champion / Loyal
380,13,17,47,2023-12-31,4,3,2,432,Average Purchaser
381,17,20,355,2023-12-31,4,4,5,445,Champion / Loyal
382,30,43,212,2023-12-31,2,5,4,254,High-Value At-Risk
383,10,32,98,2023-12-31,3,3,3,333,Need Attention
384,10,54,21,2023-12-31,1,3,1,131,Average Purchaser
385,5,9,33,2023-12-31,5,1,1,511,New / Promising
386,5,13,38,2023-12-31,4,1,2,412,New / Promising
387,9,14,59,2023-12-31,4,3,2,432,Average Purchaser
388,11,15,14,2023-12-31,4,3,1,431,Average Purchaser
389,13,59,201,2023-12-31,1,3,4,134,High-Value At-Risk
390,23,32,381,2023-12-31,3,4,5,345,Need Attention
391,24,42,202,2023-12-31,2,4,4,244,High-Value At-Risk
392,7,30,15,2023-12-31,3,2,1,321,Average Purchaser
393,11,35,215,2023-12-31,3,3,4,334,Need Attention
394,6,24,198,2023-12-31,4,2,4,424,New / Promising
395,4,38,18,2023-12-31,2,1,1,211,Low-Value / Lost
396,19,9,296,2023-12-31,5,4,5,545,Champion / Loyal
397,4,13,18,2023-12-31,4,1,1,411,New / Promising
398,54,47,441,2023-12-31,2,5,5,255,High-Value At-Risk
399,4,29,27,2023-12-31,3,1,1,311,Average Purchaser
400,6,39,74,2023-12-31,2,2,3,223,Average Purchaser
401,5,12,45,2023-12-31,5,1,2,512,New / Promising
402,5,23,9,2023-12-31,4,1,1,411,New / Promising
403,33,8,442,2023-12-31,5,5,5,555,Champion / Loyal
404,7,39,46,2023-12-31,2,2,2,222,Low-Value / Lost
405,6,32,45,2023-12-31,3,2,2,322,Average Purchaser
406,5,57,62,2023-12-31,1,1,2,112,Low-Value / Lost
407,5,6,73,2023-12-31,5,1,3,513,New / Promising
408,5,6,36,2023-12-31,5,1,2,512,New / Promising
409,87,19,850,2023-12-31,4,5,5,455,Champion / Loyal
410,29,36,566,2023-12-31,3,5,5,355,Need Attention
411,12,18,62,2023-12-31,4,3,2,432,Average Purchaser
412,5,25,37,2023-12-31,3,1,2,312,Average Purchaser
413,21,0,238,2023-12-31,5,4,5,545,Champion / Loyal
414,4,2,28,2023-12-31,5,1,1,511,New / Promising
415,7,20,50,2023-12-31,4,2,2,422,New / Promising
416,4,15,21,2023-12-31,4,1,1,411,New / Promising
417,10,4,81,2023-12-31,5,3,3,533,Average Purchaser
418,9,39,167,2023-12-31,2,3,4,234,High-Value At-Risk
419,25,34,68,2023-12-31,3,5,3,353,Need Attention
420,23,2,128,2023-12-31,5,4,4,544,Champion / Loyal
421,4,17,16,2023-12-31,4,1,1,411,New / Promising
422,28,48,270,2023-12-31,2,5,5,255,High-Value At-Risk
423,43,18,100,2023-12-31,4,5,3,453,Average Purchaser
424,5,51,7,2023-12-31,1,1,1,111,Low-Value / Lost
425,8,44,99,2023-12-31,2,2,3,223,Average Purchaser
426,14,14,40,2023-12-31,4,4,2,442,Average Purchaser
427,9,47,43,2023-12-31,2,3,2,232,Average Purchaser
428,4,32,28,2023-12-31,3,1,1,311,Average Purchaser
429,30,48,100,2023-12-31,2,5,3,253,High-Value At-Risk
430,9,36,61,2023-12-31,3,3,2,332,Need Attention
431,10,8,11,2023-12-31,5,3,1,531,Average Purchaser
432,53,47,445,2023-12-31,2,5,5,255,High-Value At-Risk
433,6,38,32,2023-12-31,2,2,1,221,Low-Value / Lost
434,5,37,34,2023-12-31,2,1,2,212,Low-Value / Lost
435,14,24,145,2023-12-31,4,4,4,444,Champion / Loyal
436,17,33,48,2023-12-31,3,4,2,342,Need Attention
437,20,7,185,2023-12-31,5,4,4,544,Champion / Loyal
438,12,53,169,2023-12-31,1,3,4,134,High-Value At-Risk
439,10,42,129,2023-12-31,2,3,4,234,High-Value At-Risk
440,19,31,44,2023-12-31,3,4,2,342,Need Attention
441,15,25,68,2023-12-31,3,4,3,343,Need Attention
442,13,49,159,2023-12-31,1,3,4,134,High-Value At-Risk
443,11,24,141,2023-12-31,4,3,4,434,Average Purchaser
444,43,11,1181,2023-12-31,5,5,5,555,Champion / Loyal
445,5,31,22,2023-12-31,3,1,1,311,Average Purchaser
