user_id,product_id,last_product_order_ts,last_purchase_days_ago,avg_replenishment_days,mock_inventory,overdue_ratio,R_score,F_score,M_score,rfm_segment,risk_id
17,15844,2023-02-04,330,17.0,294,19.41,1,5,5,High-Value At-Risk,job_e06ac3b9:17:15844
63,11005,2023-06-01,213,11.0,281,19.36,3,5,5,Need Attention,job_e06ac3b9:63:11005
37,25588,2023-03-17,289,15.0,382,19.27,4,4,4,Champion / Loyal,job_e06ac3b9:37:25588
27,1005,2023-04-06,269,14.0,353,19.21,3,5,5,Need Attention,job_e06ac3b9:27:1005
27,10312,2023-04-06,269,14.0,234,19.21,3,5,5,Need Attention,job_e06ac3b9:27:10312
27,22290,2023-04-06,269,14.0,203,19.21,3,5,5,Need Attention,job_e06ac3b9:27:22290
27,42611,2023-04-06,269,14.0,210,19.21,3,5,5,Need Attention,job_e06ac3b9:27:42611
2,40571,2023-06-23,191,10.0,467,19.1,5,4,4,Champion / Loyal,job_e06ac3b9:2:40571
50,11933,2023-02-10,324,17.0,110,19.06,5,5,5,Champion / Loyal,job_e06ac3b9:50:11933
54,27142,2022-12-15,381,20.0,191,19.05,4,5,5,Champion / Loyal,job_e06ac3b9:54:27142
37,1158,2023-02-11,323,17.0,435,19.0,4,4,4,Champion / Loyal,job_e06ac3b9:37:1158
36,11079,2023-07-04,180,9.5,449,18.95,2,5,4,High-Value At-Risk,job_e06ac3b9:36:11079
27,29944,2022-12-18,378,20.0,405,18.9,3,5,5,Need Attention,job_e06ac3b9:27:29944
63,6187,2023-01-25,340,18.0,324,18.89,3,5,5,Need Attention,job_e06ac3b9:63:6187
63,691,2023-01-25,340,18.0,247,18.89,3,5,5,Need Attention,job_e06ac3b9:63:691
49,1398,2023-05-19,226,12.0,78,18.83,1,3,2,Average Purchaser,job_e06ac3b9:49:1398
63,30639,2023-04-12,263,14.0,172,18.79,3,5,5,Need Attention,job_e06ac3b9:63:30639
21,196,2023-03-26,280,15.0,264,18.67,3,5,4,Need Attention,job_e06ac3b9:21:196
50,2643,2023-01-02,363,19.5,85,18.62,5,5,5,Champion / Loyal,job_e06ac3b9:50:2643
36,46995,2023-05-31,214,11.5,444,18.61,2,5,4,High-Value At-Risk,job_e06ac3b9:36:46995
30,6184,2023-08-14,139,7.5,457,18.53,1,3,1,Average Purchaser,job_e06ac3b9:30:6184
17,9387,2023-08-05,148,8.0,463,18.5,1,5,5,High-Value At-Risk,job_e06ac3b9:17:9387
54,19508,2023-06-11,203,11.0,90,18.45,4,5,5,Champion / Loyal,job_e06ac3b9:54:19508
46,46453,2022-12-09,387,21.0,183,18.43,1,4,4,High-Value At-Risk,job_e06ac3b9:46:46453
35,45084,2023-05-24,221,12.0,57,18.42,1,3,4,High-Value At-Risk,job_e06ac3b9:35:45084
63,27737,2022-12-10,386,21.0,95,18.38,3,5,5,Need Attention,job_e06ac3b9:63:27737
63,30336,2022-12-10,386,21.0,229,18.38,3,5,5,Need Attention,job_e06ac3b9:63:30336
50,37852,2023-04-19,256,14.0,468,18.29,5,5,5,Champion / Loyal,job_e06ac3b9:50:37852
27,12315,2022-12-31,365,20.0,268,18.25,3,5,5,Need Attention,job_e06ac3b9:27:12315
54,36116,2023-06-14,200,11.0,447,18.18,4,5,5,Champion / Loyal,job_e06ac3b9:54:36116
54,33468,2023-06-14,200,11.0,57,18.18,4,5,5,Champion / Loyal,job_e06ac3b9:54:33468
46,45009,2023-05-27,218,12.0,104,18.17,1,4,4,High-Value At-Risk,job_e06ac3b9:46:45009
17,29004,2023-02-27,307,17.0,365,18.06,1,5,5,High-Value At-Risk,job_e06ac3b9:17:29004
23,4210,2023-08-27,126,7.0,443,18.0,1,1,2,Low-Value / Lost,job_e06ac3b9:23:4210
54,5746,2023-05-03,242,13.5,217,17.93,4,5,5,Champion / Loyal,job_e06ac3b9:54:5746
2,13176,2023-05-12,233,13.0,303,17.92,5,4,4,Champion / Loyal,job_e06ac3b9:2:13176
21,44375,2023-04-07,268,15.0,238,17.87,3,5,4,Need Attention,job_e06ac3b9:21:44375
27,35767,2022-12-22,374,21.0,482,17.81,3,5,5,Need Attention,job_e06ac3b9:27:35767
27,41009,2022-12-22,374,21.0,352,17.81,3,5,5,Need Attention,job_e06ac3b9:27:41009
27,43352,2023-08-11,142,8.0,462,17.75,3,5,5,Need Attention,job_e06ac3b9:27:43352
63,19678,2023-06-01,213,12.0,68,17.75,3,5,5,Need Attention,job_e06ac3b9:63:19678
54,26373,2022-12-26,370,21.0,253,17.62,4,5,5,Champion / Loyal,job_e06ac3b9:54:26373
54,28941,2022-12-26,370,21.0,175,17.62,4,5,5,Champion / Loyal,job_e06ac3b9:54:28941
54,48104,2023-01-13,352,20.0,478,17.6,4,5,5,Champion / Loyal,job_e06ac3b9:54:48104
27,42828,2023-07-08,176,10.0,68,17.6,3,5,5,Need Attention,job_e06ac3b9:27:42828
54,35824,2023-01-31,334,19.0,335,17.58,4,5,5,Champion / Loyal,job_e06ac3b9:54:35824
54,15503,2022-12-10,386,22.0,233,17.55,4,5,5,Champion / Loyal,job_e06ac3b9:54:15503
63,10749,2022-12-10,386,22.0,448,17.55,3,5,5,Need Attention,job_e06ac3b9:63:10749
54,25588,2023-04-12,263,15.0,382,17.53,4,5,5,Champion / Loyal,job_e06ac3b9:54:25588
54,25640,2023-04-12,263,15.0,415,17.53,4,5,5,Champion / Loyal,job_e06ac3b9:54:25640
63,4149,2023-04-12,263,15.0,191,17.53,3,5,5,Need Attention,job_e06ac3b9:63:4149
17,10300,2022-12-29,367,21.0,425,17.48,1,5,5,High-Value At-Risk,job_e06ac3b9:17:10300
17,8730,2022-12-29,367,21.0,207,17.48,1,5,5,High-Value At-Risk,job_e06ac3b9:17:8730
17,20215,2022-12-29,367,21.0,415,17.48,1,5,5,High-Value At-Risk,job_e06ac3b9:17:20215
15,42862,2023-04-13,262,15.0,200,17.47,2,4,3,High-Value At-Risk,job_e06ac3b9:15:42862
38,116,2023-04-22,253,14.5,477,17.45,4,3,4,Average Purchaser,job_e06ac3b9:38:116
42,34594,2023-05-19,226,13.0,79,17.38,5,4,4,Champion / Loyal,job_e06ac3b9:42:34594
63,10662,2023-01-01,364,21.0,198,17.33,3,5,5,Need Attention,job_e06ac3b9:63:10662
63,31883,2023-01-01,364,21.0,167,17.33,3,5,5,Need Attention,job_e06ac3b9:63:31883
28,48105,2023-02-25,309,18.0,115,17.17,3,5,4,Need Attention,job_e06ac3b9:28:48105
27,6508,2023-01-05,360,21.0,411,17.14,3,5,5,Need Attention,job_e06ac3b9:27:6508
27,48747,2023-01-05,360,21.0,283,17.14,3,5,5,Need Attention,job_e06ac3b9:27:48747
27,13269,2023-01-05,360,21.0,367,17.14,3,5,5,Need Attention,job_e06ac3b9:27:13269
50,17974,2023-07-13,171,10.0,95,17.1,5,5,5,Champion / Loyal,job_e06ac3b9:50:17974
50,26427,2023-07-13,171,10.0,225,17.1,5,5,5,Champion / Loyal,job_e06ac3b9:50:26427
27,24177,2023-01-06,359,21.0,412,17.1,3,5,5,Need Attention,job_e06ac3b9:27:24177
4,7350,2023-09-20,102,6.0,433,17.0,4,2,1,New / Promising,job_e06ac3b9:4:7350
37,20995,2023-03-17,289,17.0,123,17.0,4,4,4,Champion / Loyal,job_e06ac3b9:37:20995
17,12513,2023-01-08,357,21.0,456,17.0,1,5,5,High-Value At-Risk,job_e06ac3b9:17:12513
27,29668,2022-12-22,374,22.0,154,17.0,3,5,5,Need Attention,job_e06ac3b9:27:29668
63,14335,2023-06-10,204,12.0,493,17.0,3,5,5,Need Attention,job_e06ac3b9:63:14335
37,21137,2023-05-25,220,13.0,113,16.92,4,4,4,Champion / Loyal,job_e06ac3b9:37:21137
35,25466,2023-07-15,169,10.0,74,16.9,1,3,4,High-Value At-Risk,job_e06ac3b9:35:25466
35,24518,2023-07-15,169,10.0,386,16.9,1,3,4,High-Value At-Risk,job_e06ac3b9:35:24518
14,48566,2023-03-19,287,17.0,82,16.88,2,4,4,High-Value At-Risk,job_e06ac3b9:14:48566
54,34969,2022-12-26,370,22.0,445,16.82,4,5,5,Champion / Loyal,job_e06ac3b9:54:34969
54,24156,2023-01-13,352,21.0,306,16.76,4,5,5,Champion / Loyal,job_e06ac3b9:54:24156
14,23360,2023-03-21,285,17.0,217,16.76,2,4,4,High-Value At-Risk,job_e06ac3b9:14:23360
17,15820,2023-01-13,352,21.0,54,16.76,1,5,5,High-Value At-Risk,job_e06ac3b9:17:15820
27,23951,2023-01-14,351,21.0,213,16.71,3,5,5,Need Attention,job_e06ac3b9:27:23951
27,8777,2023-01-14,351,21.0,496,16.71,3,5,5,Need Attention,job_e06ac3b9:27:8777
63,30233,2023-04-25,250,15.0,320,16.67,3,5,5,Need Attention,job_e06ac3b9:63:30233
2,35917,2023-05-12,233,14.0,101,16.64,5,4,4,Champion / Loyal,job_e06ac3b9:2:35917
21,46842,2023-05-12,233,14.0,116,16.64,3,5,4,Need Attention,job_e06ac3b9:21:46842
54,6873,2022-12-30,366,22.0,495,16.64,4,5,5,Champion / Loyal,job_e06ac3b9:54:6873
48,22613,2023-05-12,233,14.0,252,16.64,1,3,3,Average Purchaser,job_e06ac3b9:48:22613
52,6184,2023-08-29,124,7.5,457,16.53,3,5,4,Need Attention,job_e06ac3b9:52:6184
27,23576,2023-01-18,347,21.0,230,16.52,3,5,5,Need Attention,job_e06ac3b9:27:23576
27,45774,2023-01-18,347,21.0,388,16.52,3,5,5,Need Attention,job_e06ac3b9:27:45774
60,41950,2023-05-22,223,13.5,369,16.52,4,3,3,Average Purchaser,job_e06ac3b9:60:41950
27,24549,2023-01-18,347,21.0,469,16.52,3,5,5,Need Attention,job_e06ac3b9:27:24549
27,36406,2023-01-18,347,21.0,232,16.52,3,5,5,Need Attention,job_e06ac3b9:27:36406
37,37250,2023-03-27,279,17.0,264,16.41,4,4,4,Champion / Loyal,job_e06ac3b9:37:37250
27,7303,2023-07-20,164,10.0,209,16.4,3,5,5,Need Attention,job_e06ac3b9:27:7303
54,8903,2023-08-22,131,8.0,435,16.38,4,5,5,Champion / Loyal,job_e06ac3b9:54:8903
29,38233,2023-07-04,180,11.0,304,16.36,3,4,4,Need Attention,job_e06ac3b9:29:38233
29,38053,2023-07-04,180,11.0,300,16.36,3,4,4,Need Attention,job_e06ac3b9:29:38053
54,23734,2023-07-04,180,11.0,430,16.36,4,5,5,Champion / Loyal,job_e06ac3b9:54:23734
54,1158,2023-03-28,278,17.0,435,16.35,4,5,5,Champion / Loyal,job_e06ac3b9:54:1158
17,6334,2023-01-22,343,21.0,338,16.33,1,5,5,High-Value At-Risk,job_e06ac3b9:17:6334
17,46844,2023-01-22,343,21.0,133,16.33,1,5,5,High-Value At-Risk,job_e06ac3b9:17:46844
37,19511,2023-05-25,220,13.5,69,16.3,4,4,4,Champion / Loyal,job_e06ac3b9:37:19511
28,21137,2023-06-03,211,13.0,113,16.23,3,5,4,Need Attention,job_e06ac3b9:28:21137
63,34574,2023-01-25,340,21.0,380,16.19,3,5,5,Need Attention,job_e06ac3b9:63:34574
63,8087,2023-01-25,340,21.0,428,16.19,3,5,5,Need Attention,job_e06ac3b9:63:8087
38,32691,2023-06-20,194,12.0,362,16.17,4,3,4,Average Purchaser,job_e06ac3b9:38:32691
38,8638,2023-06-20,194,12.0,280,16.17,4,3,4,Average Purchaser,job_e06ac3b9:38:8638
37,45063,2023-02-19,315,19.5,144,16.15,4,4,4,Champion / Loyal,job_e06ac3b9:37:45063
52,10441,2023-08-24,129,8.0,296,16.12,3,5,4,Need Attention,job_e06ac3b9:52:10441
21,7331,2023-07-23,161,10.0,344,16.1,3,5,4,Need Attention,job_e06ac3b9:21:7331
27,36523,2023-01-27,338,21.0,490,16.1,3,5,5,Need Attention,job_e06ac3b9:27:36523
27,38547,2023-03-17,289,18.0,75,16.06,3,5,5,Need Attention,job_e06ac3b9:27:38547
17,11919,2023-01-28,337,21.0,103,16.05,1,5,5,High-Value At-Risk,job_e06ac3b9:17:11919
27,1194,2023-10-04,88,5.5,349,16.0,3,5,5,Need Attention,job_e06ac3b9:27:1194
41,42828,2023-07-24,160,10.0,68,16.0,1,2,3,Average Purchaser,job_e06ac3b9:41:42828
28,27086,2023-08-09,144,9.0,288,16.0,3,5,4,Need Attention,job_e06ac3b9:28:27086
7,19678,2023-06-23,191,12.0,68,15.92,1,4,4,High-Value At-Risk,job_e06ac3b9:7:19678
50,48722,2023-04-05,270,17.0,370,15.88,5,5,5,Champion / Loyal,job_e06ac3b9:50:48722
17,36552,2023-05-07,238,15.0,485,15.87,1,5,5,High-Value At-Risk,job_e06ac3b9:17:36552
63,36082,2023-05-08,237,15.0,418,15.8,3,5,5,Need Attention,job_e06ac3b9:63:36082
54,24622,2023-01-18,347,22.0,141,15.77,4,5,5,Champion / Loyal,job_e06ac3b9:54:24622
21,8668,2023-06-25,189,12.0,455,15.75,3,5,4,Need Attention,job_e06ac3b9:21:8668
21,21508,2023-06-25,189,12.0,198,15.75,3,5,4,Need Attention,job_e06ac3b9:21:21508
21,16965,2023-06-25,189,12.0,272,15.75,3,5,4,Need Attention,job_e06ac3b9:21:16965
28,47766,2023-05-01,244,15.5,124,15.74,3,5,4,Need Attention,job_e06ac3b9:28:47766
17,32498,2023-02-04,330,21.0,449,15.71,1,5,5,High-Value At-Risk,job_e06ac3b9:17:32498
7,49235,2023-06-26,188,12.0,416,15.67,1,4,4,High-Value At-Risk,job_e06ac3b9:7:49235
50,14955,2023-05-26,219,14.0,406,15.64,5,5,5,Champion / Loyal,job_e06ac3b9:50:14955
63,5120,2023-02-23,311,20.0,55,15.55,3,5,5,Need Attention,job_e06ac3b9:63:5120
17,6212,2023-02-08,326,21.0,251,15.52,1,5,5,High-Value At-Risk,job_e06ac3b9:17:6212
17,12855,2023-02-04,330,21.5,459,15.35,1,5,5,High-Value At-Risk,job_e06ac3b9:17:12855
41,19678,2023-06-30,184,12.0,68,15.33,1,2,3,Average Purchaser,job_e06ac3b9:41:19678
27,13984,2022-12-22,374,24.5,144,15.27,3,5,5,Need Attention,job_e06ac3b9:27:13984
63,48112,2023-02-14,320,21.0,418,15.24,3,5,5,Need Attention,job_e06ac3b9:63:48112
63,35249,2023-02-14,320,21.0,261,15.24,3,5,5,Need Attention,job_e06ac3b9:63:35249
37,18090,2023-05-17,228,15.0,480,15.2,4,4,4,Champion / Loyal,job_e06ac3b9:37:18090
37,10305,2023-05-17,228,15.0,446,15.2,4,4,4,Champion / Loyal,job_e06ac3b9:37:10305
63,23323,2023-04-18,257,17.0,463,15.12,3,5,5,Need Attention,job_e06ac3b9:63:23323
37,23165,2023-09-01,121,8.0,120,15.12,4,4,4,Champion / Loyal,job_e06ac3b9:37:23165
37,39748,2023-03-27,279,18.5,262,15.08,4,4,4,Champion / Loyal,job_e06ac3b9:37:39748
49,16696,2023-05-19,226,15.0,479,15.07,1,3,2,Average Purchaser,job_e06ac3b9:49:16696
21,36677,2023-05-19,226,15.0,319,15.07,3,5,4,Need Attention,job_e06ac3b9:21:36677
49,12916,2023-05-19,226,15.0,125,15.07,1,3,2,Average Purchaser,job_e06ac3b9:49:12916
50,4601,2023-02-18,316,21.0,371,15.05,5,5,5,Champion / Loyal,job_e06ac3b9:50:4601
63,12962,2022-12-21,375,25.0,345,15.0,3,5,5,Need Attention,job_e06ac3b9:63:12962
63,42356,2022-12-21,375,25.0,52,15.0,3,5,5,Need Attention,job_e06ac3b9:63:42356
17,47577,2023-02-19,315,21.0,497,15.0,1,5,5,High-Value At-Risk,job_e06ac3b9:17:47577
55,26172,2023-07-19,165,11.0,153,15.0,3,2,3,Need Attention,job_e06ac3b9:55:26172
3,38596,2023-07-19,165,11.0,104,15.0,3,3,3,Need Attention,job_e06ac3b9:3:38596
42,36086,2023-07-19,165,11.0,211,15.0,5,4,4,Champion / Loyal,job_e06ac3b9:42:36086
54,3494,2023-06-04,210,14.0,354,15.0,4,5,5,Champion / Loyal,job_e06ac3b9:54:3494
27,46524,2022-12-22,374,25.0,483,14.96,3,5,5,Need Attention,job_e06ac3b9:27:46524
54,9092,2023-02-20,314,21.0,95,14.95,4,5,5,Champion / Loyal,job_e06ac3b9:54:9092
54,28432,2023-02-20,314,21.0,390,14.95,4,5,5,Champion / Loyal,job_e06ac3b9:54:28432
38,32433,2023-04-22,253,17.0,294,14.88,4,3,4,Average Purchaser,job_e06ac3b9:38:32433
64,4210,2023-09-18,104,7.0,443,14.86,5,3,4,Average Purchaser,job_e06ac3b9:64:4210
37,9839,2023-02-07,327,22.0,423,14.86,4,4,4,Champion / Loyal,job_e06ac3b9:37:9839
63,21852,2023-02-23,311,21.0,370,14.81,3,5,5,Need Attention,job_e06ac3b9:63:21852
15,30292,2023-05-23,222,15.0,411,14.8,2,4,3,High-Value At-Risk,job_e06ac3b9:15:30292
14,33689,2023-09-04,118,8.0,311,14.75,2,4,4,High-Value At-Risk,job_e06ac3b9:14:33689
52,10445,2023-05-24,221,15.0,151,14.73,3,5,4,Need Attention,job_e06ac3b9:52:10445
14,9239,2023-04-10,265,18.0,56,14.72,2,4,4,High-Value At-Risk,job_e06ac3b9:14:9239
28,34551,2023-02-25,309,21.0,284,14.71,3,5,4,Need Attention,job_e06ac3b9:28:34551
59,27086,2023-08-21,132,9.0,288,14.67,1,3,3,Average Purchaser,job_e06ac3b9:59:27086
37,3481,2023-05-25,220,15.0,446,14.67,4,4,4,Champion / Loyal,job_e06ac3b9:37:3481
37,17600,2023-02-27,307,21.0,171,14.62,4,4,4,Champion / Loyal,job_e06ac3b9:37:17600
